,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
3537,2015,WWPRB,Wood and waste energy production,NH,New Hampshire,44976,Billion Btu
3538,2015,WWPRB,Wood and waste energy production,CT,Connecticut,26728,Billion Btu
3539,2015,WWPRB,Wood and waste energy production,VA,Virginia,118254,Billion Btu
3540,2015,WWPRB,Wood and waste energy production,AR,Arkansas,79217,Billion Btu
3541,2015,WWPRB,Wood and waste energy production,IL,Illinois,19411,Billion Btu
3542,2015,WWPRB,Wood and waste energy production,MA,Massachusetts,39648,Billion Btu
3543,2015,WWPRB,Wood and waste energy production,MO,Missouri,24526,Billion Btu
3544,2015,WWPRB,Wood and waste energy production,FL,Florida,180650,Billion Btu
3545,2015,WWPRB,Wood and waste energy production,KS,Kansas,7158,Billion Btu
3546,2015,WWPRB,Wood and waste energy production,WI,Wisconsin,106687,Billion Btu
3547,2015,WWPRB,Wood and waste energy production,MN,Minnesota,79370,Billion Btu
3548,2015,WWPRB,Wood and waste energy production,OK,Oklahoma,28038,Billion Btu
3549,2015,WWPRB,Wood and waste energy production,SC,South Carolina,103604,Billion Btu
3550,2015,WWPRB,Wood and waste energy production,PA,Pennsylvania,122856,Billion Btu
3551,2015,WWPRB,Wood and waste energy production,AK,Alaska,7488,Billion Btu
3552,2015,WWPRB,Wood and waste energy production,DE,Delaware,1809,Billion Btu
3553,2015,WWPRB,Wood and waste energy production,ID,Idaho,39585,Billion Btu
3554,2015,WWPRB,Wood and waste energy production,SD,South Dakota,2968,Billion Btu
3555,2015,WWPRB,Wood and waste energy production,WA,Washington,113296,Billion Btu
3556,2015,WWPRB,Wood and waste energy production,DC,District of Columbia,498,Billion Btu
3557,2015,WWPRB,Wood and waste energy production,KY,Kentucky,32445,Billion Btu
3558,2015,WWPRB,Wood and waste energy production,NY,New York,100942,Billion Btu
3559,2015,WWPRB,Wood and waste energy production,CO,Colorado,14936,Billion Btu
3560,2015,WWPRB,Wood and waste energy production,OH,Ohio,60307,Billion Btu
3561,2015,WWPRB,Wood and waste energy production,NE,Nebraska,4161,Billion Btu
3562,2015,WWPRB,Wood and waste energy production,TX,Texas,81397,Billion Btu
3563,2015,WWPRB,Wood and waste energy production,AZ,Arizona,8659,Billion Btu
3564,2015,WWPRB,Wood and waste energy production,WV,West Virginia,12096,Billion Btu
3565,2015,WWPRB,Wood and waste energy production,VT,Vermont,24060,Billion Btu
3566,2015,WWPRB,Wood and waste energy production,MI,Michigan,119481,Billion Btu
3567,2015,WWPRB,Wood and waste energy production,UT,Utah,5195,Billion Btu
3568,2015,WWPRB,Wood and waste energy production,ME,Maine,117588,Billion Btu
3569,2015,WWPRB,Wood and waste energy production,MD,Maryland,23492,Billion Btu
3570,2015,WWPRB,Wood and waste energy production,HI,Hawaii,7220,Billion Btu
3571,2015,WWPRB,Wood and waste energy production,NC,North Carolina,110724,Billion Btu
3572,2015,WWPRB,Wood and waste energy production,IN,Indiana,34599,Billion Btu
3573,2015,WWPRB,Wood and waste energy production,LA,Louisiana,119577,Billion Btu
3574,2015,WWPRB,Wood and waste energy production,GA,Georgia,224371,Billion Btu
3575,2015,BFPRB,Biofuels production,TX,Texas,66021,Billion Btu
3576,2015,BFPRB,Biofuels production,RI,Rhode Island,94,Billion Btu
3577,2015,BFPRB,Biofuels production,VT,Vermont,0,Billion Btu
3578,2015,BFPRB,Biofuels production,NY,New York,19793,Billion Btu
3579,2015,BFPRB,Biofuels production,MD,Maryland,0,Billion Btu
3580,2015,BFPRB,Biofuels production,NV,Nevada,0,Billion Btu
3581,2015,BFPRB,Biofuels production,NC,North Carolina,256,Billion Btu
3582,2015,BFPRB,Biofuels production,IA,Iowa,568234,Billion Btu
3583,2015,BFPRB,Biofuels production,ME,Maine,43,Billion Btu
3584,2015,BFPRB,Biofuels production,HI,Hawaii,383,Billion Btu
3585,2015,BFPRB,Biofuels production,WV,West Virginia,0,Billion Btu
3586,2015,BFPRB,Biofuels production,CT,Connecticut,715,Billion Btu
3587,2015,BFPRB,Biofuels production,CA,California,31352,Billion Btu
3588,2015,GEEGP,Geothermal electricity net generation in the electric power sector,UT,Utah,430,Million kilowatthours
3589,2015,WYTCB,Wind energy total consumption,NV,Nevada,2885,Billion Btu
3590,2015,GETCB,Geothermal energy total consumption,OH,Ohio,3435,Billion Btu
3591,2015,HYTCP,Hydroelectricity total net generation,NJ,New Jersey,10,Million kilowatthours
3592,2015,GETCB,Geothermal energy total consumption,IL,Illinois,2042,Billion Btu
3593,2015,GETCB,Geothermal energy total consumption,SD,South Dakota,1868,Billion Btu
3594,2015,WYTCB,Wind energy total consumption,VT,Vermont,3030,Billion Btu
3595,2015,WYTCP,Wind electricity total net generation,NV,Nevada,310,Million kilowatthours
3596,2015,WYTCB,Wind energy total consumption,TN,Tennessee,427,Billion Btu
3597,2015,HYTCB,Hydropower total consumption,ND,North Dakota,19505,Billion Btu
3598,2015,GEEGP,Geothermal electricity net generation in the electric power sector,PA,Pennsylvania,0,Million kilowatthours
3599,2015,HYTCB,Hydropower total consumption,SC,South Carolina,23884,Billion Btu
3600,2015,SOTCB,Solar energy total consumption,WI,Wisconsin,505,Billion Btu
3601,2015,SOTCB,Solar energy total consumption,AL,Alabama,101,Billion Btu
3602,2015,HYTCP,Hydroelectricity total net generation,ND,North Dakota,2094,Million kilowatthours
3603,2015,WYTCP,Wind electricity total net generation,TN,Tennessee,46,Million kilowatthours
